"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1291","Tension.
.
.
.
.
<U+0001F4F8>: arckphoto / https://t.co/9ML3umOSTU / uk tennis magazine / https://t.co/8mav7jvRmx
.
.
.
.
.
.… https://t.co/AS5VsjTFoi",FALSE,0,NA,2019-04-20 22:00:22,TRUE,NA,"1119722502232477696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ArcKPhoto",0,FALSE,FALSE,"7.44094787","43.75195997"
"1293","Hit the Court with this #Tennis Racket Statement Pendant and Beaded Necklace from P &amp; S Sports Collection #etsy jew… https://t.co/CEg6STzlrj",FALSE,0,NA,2019-04-20 21:59:27,TRUE,NA,"1119722270363127808",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","psswstyles",1,FALSE,FALSE,NA,NA
"1294","WTA Fantasy Tennis: Stephanie Dubois makes Stuttgart 2019 picks https://t.co/VjXOAv7joF #WTA #Tennis",FALSE,0,NA,2019-04-20 21:59:19,FALSE,NA,"1119722239442739201",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","CourtXperience",0,FALSE,FALSE,NA,NA
"1296","@David4242 @accent_tennis Very often -- when I'm not writing about the NCAA Tournament or college football.

:-)",FALSE,1,"David4242",2019-04-20 21:59:14,FALSE,"1119719591037558785","1119722216843649024","39608492","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzemek",0,FALSE,FALSE,NA,NA
"1298","Fed Cup semi-finals: Australia &amp; Belarus level, with Romania &amp; France also all square https://t.co/Fb182jiLG1",FALSE,0,NA,2019-04-20 21:59:13,FALSE,NA,"1119722210472677377",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","IvyChan227",0,FALSE,FALSE,NA,NA
"1299","Senior Spencer Whitmire earned wins in both doubles and singles play to lead men's tennis to an 8-1 win over RIT on… https://t.co/L5dBSm0uWg",FALSE,2,NA,2019-04-20 21:58:48,TRUE,NA,"1119722108253290498",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","SLUsaints",1,FALSE,FALSE,NA,NA
"1301","Adidas PW Tennis HU Shoe Men’s Casual Yellow Dead Stock 2 pairs left Size 13 &amp; Size 11.5",FALSE,0,NA,2019-04-20 21:58:46,FALSE,NA,"1119722099134701568",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","violinher0",0,FALSE,FALSE,NA,NA
"1302","@jconwaytennis @babolat @gllsf @ITF_Tennis @the_LTA Awesome <U+0001F60E> <U+0001F44D><U+0001F3C6><U+0001F918>",FALSE,1,"jconwaytennis",2019-04-20 21:58:45,FALSE,"1119690248915771392","1119722096542797827","778638679363420160","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","racketspec",0,FALSE,FALSE,NA,NA
"1305","@AllLoveFromYe Life of Pablo. Got that Kim K tennis long sleeve <U+0001F525><U+0001F525>",FALSE,1,"AllLoveFromYe",2019-04-20 21:58:29,FALSE,"1119658815060959238","1119722028632821761","1065712299141406721","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","somegaveall",0,FALSE,FALSE,NA,NA
"1306","@markysparky73 @musicand_tennis Enjoy! x <U+0001F942>",FALSE,2,"markysparky73",2019-04-20 21:58:27,FALSE,"1119698261835702274","1119722018302300166","780489583","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LynnMor29781050",0,FALSE,FALSE,NA,NA
"1311","@Vol_Tennis GO VOLS. Finish strong! https://t.co/CAWehoDiaq",FALSE,1,"Vol_Tennis",2019-04-20 21:57:49,FALSE,NA,"1119721860097302530","89112985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattyArt03",0,FALSE,FALSE,NA,NA
"1312","WashU Women’s Tennis Senior Day 2019! https://t.co/WrFBXleqFc",FALSE,0,NA,2019-04-20 21:57:47,FALSE,NA,"1119721853327511552",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lisajubas",0,FALSE,FALSE,NA,NA
"1314","One is @bulgariofficial and one is @lovemydoubles 

The solid white gold and onyx #peace #love #tennis bracelet.  M… https://t.co/Up7fY0c5w9",FALSE,1,NA,2019-04-20 21:57:35,TRUE,NA,"1119721801691439104",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lovemydoubles",0,FALSE,FALSE,NA,NA
"1315","@noir_not you know what, just ship me with a tennis ball or something",FALSE,1,"noir_not",2019-04-20 21:57:18,FALSE,"1119721417178615808","1119721731336413184","1097280540242104321","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","not_queenbee",0,FALSE,FALSE,NA,NA
"1316","Bobcat Men Capture Eighth Seed In CAC Tournament #BobcatPride https://t.co/Ywefisj1Ou",FALSE,0,NA,2019-04-20 21:57:17,FALSE,NA,"1119721726437404672",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","frostburgsports",0,FALSE,FALSE,NA,NA
"1320","The Human Performance Institute found that what separates the top ranked pro tennis players from the rest was the e… https://t.co/qzcwOvyQln",FALSE,5,NA,2019-04-20 21:57:05,TRUE,NA,"1119721676688613377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_hen83",1,FALSE,FALSE,NA,NA
"1325","Tennis on NES lacked PvP play, probably because the single screen created back-court perspective issues. Vs. Tennis… https://t.co/LakBdyksQg",FALSE,18,"gamespite",2019-04-20 21:56:49,TRUE,"1119715419869339649","1119721609672179713","17052055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gamespite",4,FALSE,FALSE,NA,NA
"1326","weird thought but i really want to play tennis.",FALSE,0,NA,2019-04-20 21:56:45,FALSE,NA,"1119721592580452352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nombasamazwai",0,FALSE,FALSE,NA,NA
"1329","Rafa is the most ungracious loser https://t.co/0QL49kYZqL https://t.co/0QL49kYZqL",FALSE,0,NA,2019-04-20 21:56:26,FALSE,NA,"1119721510019715073",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ozisobe",0,FALSE,FALSE,NA,NA
"1330","NIU advances to Sunday's MAC Men's Tennis Championship after a 4-2 win over Buffalo. Kristopher Ortega finished off… https://t.co/hPJrWffelA",FALSE,3,NA,2019-04-20 21:56:24,TRUE,NA,"1119721503887642624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MACSports",1,FALSE,FALSE,NA,NA
"1332","I was honored to join the legendary Coach Pomroy, our fantastic current players, and several state championship pla… https://t.co/upm6icnW27",FALSE,23,NA,2019-04-20 21:56:12,TRUE,NA,"1119721454961143808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shawn_abel",7,FALSE,FALSE,NA,NA
"1334","Belleville East @BTHSEastLancers &amp; O'Fallon @otownathletics doubles teams faced off at BV East Invitational Tennis… https://t.co/zAKmVjemq8",FALSE,2,NA,2019-04-20 21:56:08,TRUE,NA,"1119721437017911297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TimVizerPhoto",4,FALSE,FALSE,NA,NA
"1335","@markysparky73 @musicand_tennis You are both ""Pretty in Pink"" and so Psychedelic Furs",FALSE,3,"markysparky73",2019-04-20 21:55:59,FALSE,"1119719243019423744","1119721400158306304","780489583","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robin61mcr",0,FALSE,FALSE,NA,NA
"1336","Happy Easter to all Tennis Fans around the World <U+0001F600><U+0001F3BE><U+2764><U+FE0F>
#tennislove #tenis #tennis #rogerfederer #happyeaster #easter… https://t.co/dwS0TA9kwd",FALSE,69,NA,2019-04-20 21:55:58,TRUE,NA,"1119721392834875397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoveSetMatch_",13,FALSE,FALSE,NA,NA
"1337","@Vol_Tennis What’s the delay on Walton’s court?",FALSE,0,"Vol_Tennis",2019-04-20 21:55:48,FALSE,"1119720509225172992","1119721351483461632","89112985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drogers444",0,FALSE,FALSE,NA,NA
"1338","Why I love playing tennis https://t.co/O2A4uA8kEH",FALSE,0,NA,2019-04-20 21:55:45,FALSE,NA,"1119721339756007424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gym2G",0,FALSE,FALSE,NA,NA
"1342","Fed Cup semi-finals: Australia &amp; Belarus level, with Romania &amp; France also all square https://t.co/4MKsCRD1IL",FALSE,0,NA,2019-04-20 21:54:53,FALSE,NA,"1119721121518112770",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","BBCNewsAus",0,FALSE,FALSE,NA,NA
"1343","https://t.co/7ffNVApGqV 

Nephew want a chain so hit that link so I can get him a discount <U+0001F639>",FALSE,0,NA,2019-04-20 21:54:49,FALSE,NA,"1119721106401787905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BULLET_5000",0,FALSE,FALSE,NA,NA
"1344","ATL Eagles, come out to Peachtree City Tennis Center tomorrow morning at 11 am as @SeanMacTennis and… https://t.co/4qPkSkR7sU",FALSE,18,NA,2019-04-20 21:54:46,TRUE,NA,"1119721093307293696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GSAthletics_AD",5,FALSE,FALSE,NA,NA
"1345","<U+0001F4B0> Late Night Banker <U+0001F4B0>

Tennis <U+0001F3BE>

Sloane Stephens March winner

2019 Fed Cup

Odds @ 4/7

Like if you are on! <U+2665><U+FE0F>",FALSE,4,NA,2019-04-20 21:54:41,FALSE,NA,"1119721072876818432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BettingKingNI",0,FALSE,FALSE,NA,NA
"1347","@the_LTA @surrey_tennis @FedCup Brilliant tribute to someone who cared so much about tennis &amp; the people working in… https://t.co/7IhyIIMk6Y",FALSE,3,"the_LTA",2019-04-20 21:54:23,TRUE,"1119581096855973889","1119720994292273155","41405468","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mark___bullock",1,FALSE,FALSE,NA,NA
"1348","2019 Elizabeth Moore Sarasota Open: Men's Singles Final begins at 10:30 AM tomorrow at Laurel Oak Country Club. We… https://t.co/0647icPFbL",FALSE,3,NA,2019-04-20 21:54:17,TRUE,NA,"1119720969319407618",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","SarasotaOpen",1,FALSE,FALSE,NA,NA
"1349","No. 16 Men's Tennis Falls to No. 7 Lander in PBC Quarterfinal https://t.co/8RpnryzmBG",FALSE,0,NA,2019-04-20 21:54:16,FALSE,NA,"1119720964571398145",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","UNGTennis",0,FALSE,FALSE,NA,NA
"1351","No. 33 Tarleton falls to MSU Texas in Saturday tennis action https://t.co/jhFxkv7ykm",FALSE,0,NA,2019-04-20 21:54:11,FALSE,NA,"1119720944887635968",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","TarletonSports",0,FALSE,FALSE,NA,NA
"1352","Side lunges are a challenging alternative to normal lunges. How many can you get?

#lunge #squat #physicaltherapy… https://t.co/zqaKztFP2z",FALSE,0,NA,2019-04-20 21:54:04,TRUE,NA,"1119720915158425602",NA,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>","PTLilly",0,FALSE,FALSE,NA,NA
"1355","@UK_SportsFan @babolat @gllsf @ITF_Tennis @the_LTA David, thank you so much for your amazing support!<U+0001F604>",FALSE,0,"UK_SportsFan",2019-04-20 21:53:29,FALSE,"1119710718582980609","1119720768278007809","2488798969","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jconwaytennis",0,FALSE,FALSE,NA,NA
"1356","@jayhepitt Use a tennis ball against a wall",FALSE,1,"jayhepitt",2019-04-20 21:53:23,FALSE,"1119718007796842496","1119720742801874946","890014090508324864","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FuckMossy",0,FALSE,FALSE,NA,NA
"1357","""#13 Men's Tennis Reaches SCAC Final With Win Over Schreiner"" https://t.co/Y7hvlfOVIV #TigerPride",FALSE,2,NA,2019-04-20 21:53:13,FALSE,NA,"1119720701718560769",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TrinityUTigers",0,FALSE,FALSE,NA,NA
"1359","@FedCup tennis with the fam! #USASUI #SanAntonio #FedCup https://t.co/tavg1jVHeT",FALSE,1,"FedCup",2019-04-20 21:53:01,FALSE,NA,"1119720654008455171","82579388","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jacob_Chesnut",0,FALSE,FALSE,NA,NA
"1360","UVA men's tennis team will play Wake Forest for the ACC tournament title
https://t.co/It9UvwdkLO https://t.co/It9UvwdkLO",FALSE,0,NA,2019-04-20 21:52:51,FALSE,NA,"1119720609783717889",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","NewsRadioWINA",0,FALSE,FALSE,NA,NA
"1361","@sosuccessfuls Gucci tennis shoes",FALSE,2,"sosuccessfuls",2019-04-20 21:52:37,FALSE,"1119720302076989441","1119720550253961216","1058114871085150209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bloodlinehore",0,FALSE,FALSE,NA,NA
"1362","Joe Dorish Sports: Most Money Won by One Woman Tennis Player in One Year... https://t.co/QP0ukYyndV Angelique Kerber Serena Williams",FALSE,0,NA,2019-04-20 21:52:36,FALSE,NA,"1119720545866715142",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KellyBoldt",0,FALSE,FALSE,NA,NA
"1363","2-3 vs. Florida:

2) #71 Walton vs #52 Riffice 3-6 6-3 3-3*

4) Wiedenmann vs #50 Andrade 6-4 3-6 *3-3

#GoVols <U+0001F34A>… https://t.co/cO5q2Gaz2c",FALSE,2,NA,2019-04-20 21:52:27,TRUE,NA,"1119720509225172992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vol_Tennis",0,FALSE,FALSE,NA,NA
"1364","Utah State earned themselves a 4-0 road win against Boise State to wrap up their regular season second in the confe… https://t.co/C9kC2rSyZ0",FALSE,23,NA,2019-04-20 21:52:26,TRUE,NA,"1119720505060151296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","USUMensTennis",6,FALSE,FALSE,NA,NA
"1365","@FrankCaliendo @usatabletennis Wow! I haven't seen anyone that good in table tennis since.... https://t.co/JcRbu6C1sw",FALSE,4,"FrankCaliendo",2019-04-20 21:52:25,FALSE,"1119685382218506245","1119720500870225922","18774567","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mclennon99",0,FALSE,FALSE,NA,NA
"1366","@markysparky73 @musicand_tennis Have fun!",FALSE,2,"markysparky73",2019-04-20 21:52:24,FALSE,"1119719243019423744","1119720497384607744","780489583","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NFGmart",0,FALSE,FALSE,NA,NA
"1367","New Story: Girls Varsity Tennis finishes 2nd place at Holland Quad #1 https://t.co/472HQuKe90",FALSE,3,NA,2019-04-20 21:52:22,FALSE,NA,"1119720490065514496",NA,"<a href=""https://vnnsports.net/"" rel=""nofollow"">VNN, Inc.</a>","HHSDutchSports",1,FALSE,FALSE,NA,NA
"1369","Update: I am now home from the tennis tournament, where I froze and got windburned and sunburned, and am now trying… https://t.co/D5V9meeDCO",FALSE,4,NA,2019-04-20 21:52:12,TRUE,NA,"1119720446570708992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doniamae",0,FALSE,FALSE,NA,NA
"1370","@jconwaytennis @babolat @gllsf @ITF_Tennis @the_LTA Well done Jasmine. Great effort! <U+0001F4AF><U+0001F3C6><U+0001F44D>",FALSE,1,"jconwaytennis",2019-04-20 21:52:10,FALSE,"1119690248915771392","1119720438194683904","778638679363420160","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","challngetennis",0,FALSE,FALSE,NA,NA
"1371","Joe Dorish Sports: Most Money Won by One Tennis Player in One Year https://t.co/PfB9cPP33X Novak Djokovic Rafael Nadal",FALSE,0,NA,2019-04-20 21:52:10,FALSE,NA,"1119720437666201603",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KellyBoldt",0,FALSE,FALSE,NA,NA
"1372","Awesome @DjokerNole clay <U+0001F64F><U+0001F3FE><U+0001F44D> . Other impressive one..no13 @fabiofogna runs past @RafaelNadal  6-2 #ATPMasters1000… https://t.co/DnW17fPOID",FALSE,1,NA,2019-04-20 21:52:09,TRUE,NA,"1119720435472461824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnuragKulz",0,FALSE,FALSE,NA,NA
"1376","@RitaPanahi @AnnCoulter Enroll him in tennis, Female tennis players get the same money as Male. He can dominate the… https://t.co/b6krqzkhrn",FALSE,1,"RitaPanahi",2019-04-20 21:51:43,TRUE,"1119705305267359744","1119720326227812352","25235151","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LarryCouchmanos",0,FALSE,FALSE,NA,NA
"1377","@Tommy3Tones @BoobPunchTina @FredGarvinMPro @the8o8 @Mysteryjellocat @kitten_mobile @RedTeamGo2 @StrangestMoon… https://t.co/8CqHrBip6F",FALSE,6,"Tommy3Tones",2019-04-20 21:51:38,TRUE,"1119719217127985152","1119720303804977154","1613740213","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RandilynIsIn",0,FALSE,FALSE,NA,NA
"1380","With a Midland loss to Hastings today in men's tennis, @Doane_Tennis has clinched at least a tie for the GPAC Title… https://t.co/w0XbH94ruZ",FALSE,19,NA,2019-04-20 21:51:26,TRUE,NA,"1119720252194136064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DoaneAthletics",9,FALSE,FALSE,NA,NA
"1382","<U+0001F6A8>NEW POD!<U+0001F6A8>

Feel lost because it's @CowgirlSB 's off weekend? We have a solution -- listen to #CowgirlCoverage 018… https://t.co/XrXi2dTUOn",FALSE,6,NA,2019-04-20 21:51:20,TRUE,NA,"1119720227401535490",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TriplePlayRadio",4,FALSE,FALSE,NA,NA
"1383","@TRoque13 @NawalNadal Rafa is undoubtedly the most hard working man to ever pick up a tennis racket. Physically at… https://t.co/6osjGr5ujD",FALSE,1,"TRoque13",2019-04-20 21:51:19,TRUE,"1119716843722280963","1119720226134876160","760744353165938688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eng_alsaggaf",0,FALSE,FALSE,NA,NA
