"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","@StadiumsTen Pittsburgh Fan support crew is by far the best. They cater so much to get you involved into the game.… https://t.co/o0PpLGKCSG",FALSE,1,"StadiumsTen",2019-04-18 23:58:51,TRUE,"1118902076447158272","1119027543670251520","1074736131483127809","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PSMcHenry11",0,FALSE,FALSE,NA,NA
"69","Today's @TTU_Baseball Kid of the Game is Kagen Decker!

<U+0001F534>#WreckEm<U+26AB><U+FE0F> https://t.co/tJD1dWVzyX",FALSE,41,NA,2019-04-18 23:58:51,FALSE,NA,"1119027542944563200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TechAthletics",1,FALSE,FALSE,NA,NA
"74","And the Elmira baseball team now at 4-4 after picking up 3-2 win over Langley (Va.) and 9-5 win over Whitesboro in… https://t.co/defIGgDAgR",FALSE,1,NA,2019-04-18 23:58:46,TRUE,NA,"1119027522384146432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SGAndrewLegare",0,FALSE,FALSE,NA,NA
"76","Gulfport Baseball Playoff information: GHS (Reg. 8 #3) takes on Pearl (Reg. 6 #2) in the 1st round of the 6A Playof… https://t.co/ZvPdp9QHNF",FALSE,4,NA,2019-04-18 23:58:45,TRUE,NA,"1119027517216710656",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ghs_athletics",3,FALSE,FALSE,NA,NA
"78","All of the comments on this are old men whining about the good old days of baseball https://t.co/pm9wgWKgmT",FALSE,0,NA,2019-04-18 23:58:42,FALSE,NA,"1119027507397824513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stringcheesefan",0,FALSE,FALSE,NA,NA
"79","5/1/91: Nolan Ryan's 7th No-Hitter https://t.co/IyAbiO9QQf via @YouTube
#NolanRyan #NoHitter #6 #Baseball",FALSE,1,NA,2019-04-18 23:58:42,FALSE,NA,"1119027507024617476",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JCAAEC",0,FALSE,FALSE,NA,NA
"81","@Cut4 @MLB Just goes to show, you don’t have to be an athlete to play baseball.",FALSE,0,"Cut4",2019-04-18 23:58:39,FALSE,"1119023269154295808","1119027494433316864","241544156","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RawlingsA82",0,FALSE,FALSE,NA,NA
"83","Sometimes grad students find time to have fun too! @ Flying Squirrels Baseball https://t.co/LdSh3Jxuq8",FALSE,3,NA,2019-04-18 23:58:39,FALSE,NA,"1119027491018928128",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BgscVcu",0,FALSE,FALSE,NA,NA
"84","Out of alllll the dudes competent enough to work a count against Bailey, it’s Tyler Wade...that’s baseball Suzyn #Yankees",FALSE,0,NA,2019-04-18 23:58:38,FALSE,NA,"1119027490046062597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BPucino",0,FALSE,FALSE,NA,NA
"85","@bva_baseball Dang coach. That’s a tough one. Good job!!",FALSE,0,"bva_baseball",2019-04-18 23:58:38,FALSE,"1119013194972971010","1119027489370714112","982265601845444608","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThompsonFoto12",0,FALSE,FALSE,NA,NA
"87","@Dark_Wizzy_ Lolol
Im at my air bnb
Like a mile and a half from venue
Charging phone. Watching baseball",FALSE,16,"Dark_Wizzy_",2019-04-18 23:58:37,FALSE,"1119026784807333890","1119027483838435328","706520603063406593","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MVD731",0,FALSE,FALSE,NA,NA
"89","Shit like this is what needs to change about baseball. Bat flip is bad ass. @TimAnderson7 is a beast https://t.co/dVY0FCqpAz",FALSE,0,NA,2019-04-18 23:58:36,FALSE,NA,"1119027481141481472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanRocca",0,FALSE,FALSE,NA,NA
"90","Baseball Hammers Tars In Series Opener https://t.co/l6NJctnveq",FALSE,2,NA,2019-04-18 23:58:36,FALSE,NA,"1119027479753007104",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","BarryUBaseball",1,FALSE,FALSE,NA,NA
"93","Region 7AAA Champions Fannin County Rebels Baseball https://t.co/LmMX2bfjXl",FALSE,0,NA,2019-04-18 23:58:35,FALSE,NA,"1119027476313903107",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FanninCoHS",0,FALSE,FALSE,NA,NA
"95","Texas Tech Baseball Update (T2): 

-Shea Langeliers singled with up the middle.
-Erikson Lanning hit Andy Thomas wi… https://t.co/7bYMtuaaOO",FALSE,0,NA,2019-04-18 23:58:34,TRUE,NA,"1119027472614461440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaxHengstDT",1,FALSE,FALSE,NA,NA
"97","Baseball Turns Triple Play but Drops Heartbreaker to John Jay, 10-9 https://t.co/FNucqNq32d",FALSE,3,NA,2019-04-18 23:58:33,FALSE,NA,"1119027466025226240",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","WestConnATH",1,FALSE,FALSE,NA,NA
"98","From Fastballs To Greaseballs, 'K' Offers A History Of Baseball's Most Iconic Pitches https://t.co/Zd17IyqIWA",FALSE,0,NA,2019-04-18 23:58:32,FALSE,NA,"1119027465509167104",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AtashImran",0,FALSE,FALSE,NA,NA
"100","New Story: Warrior Baseball Makes it 5 in a Row https://t.co/xnjumr8DT6",FALSE,4,NA,2019-04-18 23:58:30,FALSE,NA,"1119027455224795136",NA,"<a href=""https://vnnsports.net/"" rel=""nofollow"">VNN, Inc.</a>","WarriorsWB",3,FALSE,FALSE,NA,NA
"102","On each of the remaining days until our #cf97 watch party @ChiSoxBar we will be announcing what position a… https://t.co/FvluZ4eXZ6",FALSE,1,NA,2019-04-18 23:58:30,TRUE,NA,"1119027453190660105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LogansSquares",0,FALSE,FALSE,NA,NA
"105","@hankschulman Is Dr Z a fan of ""batter by batter"" corner OF swaps? Waxahachie swaps? Are the on field moves that go… https://t.co/vx3uDkEsoG",FALSE,0,"hankschulman",2019-04-18 23:58:26,TRUE,"1119016063029657601","1119027440272044035","43426456","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Andrew_B_Bader",0,FALSE,FALSE,NA,NA
"109","The only teams gone at this point are Seattle and Washington. Read the post for details on how you can take home a… https://t.co/PYkwK7Crr0",FALSE,1,NA,2019-04-18 23:58:24,TRUE,NA,"1119027428142092289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","batcavelv",0,FALSE,FALSE,NA,NA
"111","@m_anderson2015 @realStaiti Nobody is close to Mike Trout, he’s in a class by himself.

Then you have the next tier… https://t.co/wH64wBUlmR",FALSE,1,"m_anderson2015",2019-04-18 23:58:21,TRUE,"1119012300269158400","1119027416729628673","377431852","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thecapoteduncan",0,FALSE,FALSE,NA,NA
"113","@bhertzel @TheSignalCaller The inclusion of wild card teams cheapened baseball's ""Real Champion""",FALSE,0,"bhertzel",2019-04-18 23:58:20,FALSE,"1119021246589620229","1119027414502387712","238587933","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letsgomtnrs",0,FALSE,FALSE,NA,NA
"114","Jaison Heard now on the mound for VT in the top of the 6th. Connor Yoder faced three batters last inning - 1 walk and 2 strikeouts. #Hokies",FALSE,0,NA,2019-04-18 23:58:19,FALSE,NA,"1119027411113455616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TSL__Baseball",0,FALSE,FALSE,NA,NA
"117","Looks like this might be the next option for the DH Saturday @baseball_HU what do ya think? https://t.co/MJpbLI6QMO",FALSE,11,NA,2019-04-18 23:58:17,FALSE,NA,"1119027399000252416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","12rlockhart63",0,FALSE,FALSE,NA,NA
"121","@leo @diegoaurdaneta Ken Griffey jr Baseball",FALSE,0,"leo",2019-04-18 23:58:13,FALSE,"1118916318516871168","1119027383955226624","61888710","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","perdomoleonardo",0,FALSE,FALSE,NA,NA
"124","Ready for some baseball. Got a layer of Mission Brew, got my badge and my chain. Lets do this @Padres https://t.co/g9UZowzr7T",FALSE,4,NA,2019-04-18 23:58:11,FALSE,NA,"1119027375612678145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shenanigans330",0,FALSE,FALSE,NA,NA
"127","@UAB_Baseball @TheAsh_6 Big Timer!!!",FALSE,2,"UAB_Baseball",2019-04-18 23:58:09,FALSE,"1119003963158880256","1119027367387836417","437008314","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jhughes1375",0,FALSE,FALSE,NA,NA
"129","@rorochub2 @CrashStl Baseball sure stirs up a lot of memories huh?",FALSE,3,"rorochub2",2019-04-18 23:58:08,FALSE,"1119025020339200001","1119027363281612800","3012752967","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AugieNash",0,FALSE,FALSE,NA,NA
"130","#UGA baseball no-hit for five innings but erupts for 3 runs in the sixth and leads #Mizzou 3-0 heading into the 7th.",FALSE,9,NA,2019-04-18 23:58:07,FALSE,NA,"1119027360672751618",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rowe247",2,FALSE,FALSE,NA,NA
"134","Baseball: (District 24-6A)
Clear Springs 1, Clear Lake 1
End of 4 —

@CLHS__Baseball
@CSpringsbball 
@JamesAtGalvNews 
@GalvGameTime",FALSE,1,NA,2019-04-18 23:58:00,FALSE,NA,"1119027328376426497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bill_Beck78",0,FALSE,FALSE,NA,NA
"139","New Story: Boys Junior Varsity Baseball falls to West Holmes 5 - 3 https://t.co/Zd7PN3JsQ5",FALSE,0,NA,2019-04-18 23:57:56,FALSE,NA,"1119027313436270593",NA,"<a href=""https://vnnsports.net/"" rel=""nofollow"">VNN, Inc.</a>","GarawayAthletic",0,FALSE,FALSE,NA,NA
